question,option1,option2,option3,option4,answer
Which part of the brain controls heartbeat and breathing?,Cerebrum,Cerebellum,Medulla oblongata,Hypothalamus,Medulla oblongata
The deficiency of Vitamin B12 causes:,Rickets,Scurvy,Pernicious anaemia,Night blindness,Pernicious anaemia
Which blood vessel carries deoxygenated blood from heart to lungs?,Pulmonary vein,Aorta,Pulmonary artery,Coronary artery,Pulmonary artery
The structural and functional unit of nervous system is:,Neuron,Nephron,Axon,Dendrite,Neuron
What is the SI unit of electric charge?,Volt,Ohm,Coulomb,Ampere,Coulomb
Which law explains floating of ships?,Newton’s Law,Archimedes Principle,Ohm’s Law,Boyle’s Law,Archimedes Principle
Which gas is liberated when zinc reacts with hydrochloric acid?,Oxygen,Nitrogen,Hydrogen,Carbon dioxide,Hydrogen
What is the chemical formula of bleaching powder?,CaCO3,CaOCl2,NaCl,CaSO4,CaOCl2
Who proposed the laws of planetary motion?,Newton,Kepler,Galileo,Einstein,Kepler
The pH of lemon juice is approximately:,2,5,7,9,2
What is 125 × 16?,1800,1900,2000,2100,2000
Find the cube root of 1728.,10,11,12,13,12
Solve: 48 ÷ 6 × 5 + 2,32,40,42,50,42
What is 22.5% of 400?,70,80,90,100,90
If x = 5, find value of 2x² + 3x.,50,55,65,75,65
The LCM of 18, 24 and 30 is:,120,180,240,360,360
Who drafted the Indian Constitution?,Rajendra Prasad,B.R. Ambedkar,Nehru,Gandhi,B.R. Ambedkar
Which article of Indian Constitution deals with Right to Equality?,Article 14,Article 19,Article 21,Article 32,Article 14
Who gave the slogan “Inquilab Zindabad”?,Bhagat Singh,Gandhi,Nehru,Patel,Bhagat Singh
Which state has the highest literacy rate in India?,Tamil Nadu,Kerala,Karnataka,Maharashtra,Kerala
Which disease is caused by protozoa?,Tuberculosis,Malaria,Typhoid,Cholera,Malaria
Which organ secretes insulin?,Liver,Pancreas,Heart,Kidney,Pancreas
The SI unit of magnetic field is:,Tesla,Weber,Henry,Gauss,Tesla
Which mirror is used by dentists?,Plane,Convex,Concave,None,Concave
Which planet has maximum number of moons?,Earth,Mars,Jupiter,Venus,Jupiter
Which key combination is used to open Task Manager?,Ctrl + P,Ctrl + Shift + Esc,Alt + F4,Ctrl + A,Ctrl + Shift + Esc
Which software is used for database management?,MS Paint,MS Word,MS Access,Chrome,MS Access
CPU performs which operation?,Scanning,Processing,Printing,Typing,Processing
Which memory is closest to CPU?,RAM,ROM,Cache,Hard Disk,Cache
What does HTTP stand for?,Hyper Text Transfer Protocol,High Transfer Text Process,Hyperlink Transfer Protocol,Home Text Transfer Process,Hyper Text Transfer Protocol
Which company developed Linux?,Microsoft,Apple,Linus Torvalds,IBM,Linus Torvalds
Which protocol is used to transfer web pages?,FTP,HTTP,SMTP,TCP,HTTP
Which shortcut key is used for redo?,Ctrl + Y,Ctrl + Z,Ctrl + X,Ctrl + C,Ctrl + Y
Which gas contributes maximum to greenhouse effect?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
Which is the deepest ocean in the world?,Indian Ocean,Atlantic Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean
Who invented the World Wide Web?,Bill Gates,Tim Berners-Lee,Charles Babbage,Steve Jobs,Tim Berners-Lee
Which country is known as Land of Thousand Lakes?,Norway,Finland,Sweden,Denmark,Finland
What is the atomic number of sodium?,9,10,11,12,11
How many chromosomes are present in human body cells?,42,44,46,48,46
Which is the hardest naturally occurring substance?,Iron,Diamond,Gold,Quartz,Diamond
Which festival is associated with harvest in Punjab?,Baisakhi,Holi,Diwali,Eid,Baisakhi
Which instrument is used to measure blood pressure?,Barometer,Sphygmomanometer,Thermometer,Hygrometer,Sphygmomanometer
Which gland is known as master gland?,Thyroid,Pituitary,Adrenal,Pancreas,Pituitary
Which country hosted FIFA World Cup 2022?,Russia,Qatar,Brazil,France,Qatar
Which vitamin deficiency causes bleeding gums?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
What is the currency of South Korea?,Won,Yen,Dollar,Ringgit,Won
Which planet rotates in opposite direction?,Earth,Mars,Venus,Jupiter,Venus
Which blood group has no antigens?,A,B,AB,O,O
What is the speed of light in vacuum?,3×10^5 m/s,3×10^6 m/s,3×10^8 m/s,3×10^10 m/s,3×10^8 m/s
What is the currency of USA?,Yen,Rupee,Dollar,Pound,Dollar
