question,option1,option2,option3,option4,answer
Which blood cells help in clotting?,RBC,WBC,Platelets,Plasma,Platelets
The human brain is protected by:,Ribs,Skull,Spinal cord,Muscles,Skull
Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
Which organ filters urine?,Heart,Liver,Kidney,Lungs,Kidney
The normal human body temperature is:,35°C,36°C,37°C,38°C,37°C
The SI unit of resistance is:,Ampere,Volt,Ohm,Watt,Ohm
Which gas is released during respiration?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,Carbon dioxide
Which metal is used in thermometers?,Copper,Iron,Mercury,Aluminium,Mercury
Who invented telephone?,Newton,Graham Bell,Edison,Marconi,Graham Bell
The atomic number of oxygen is:,6,7,8,9,8
What is 18 × 6?,96,102,108,112,108
Find the square root of 196.,12,13,14,15,14
Solve: 25 + 15 ÷ 5,5,18,28,40,28
What is 50% of 90?,35,40,45,50,45
What is the value of 11²?,111,121,131,141,121
The HCF of 8 and 12 is:,2,3,4,6,4
Who is called Missile Man of India?,Nehru,Abdul Kalam,Gandhi,Patel,Abdul Kalam
Which is the cleanest city of India (commonly awarded)?,Delhi,Mumbai,Indore,Chennai,Indore
Who wrote Ramayana?,Valmiki,Vyasa,Tulsidas,Kalidasa,Valmiki
Which state is famous for tea gardens?,Punjab,Kerala,Assam,Gujarat,Assam
Deficiency of Vitamin C causes:,Scurvy,Rickets,Beriberi,Anaemia,Scurvy
Which organ pumps blood throughout the body?,Lungs,Heart,Liver,Kidney,Heart
The speed of sound in air is approximately:,340 m/s,150 m/s,500 m/s,1000 m/s,340 m/s
Which lens is used to correct short sightedness?,Convex,Concave,Plane,None,Concave
Which is the smallest planet in solar system?,Earth,Mars,Mercury,Venus,Mercury
Which key is used to delete characters on right side?,Backspace,Delete,Shift,Tab,Delete
Which software is used for internet browsing?,Excel,Paint,Chrome,Word,Chrome
Full form of USB is:,Universal Serial Bus,United Service Bus,Universal System Board,Unique Serial Bus,Universal Serial Bus
Which memory is fastest?,RAM,ROM,Cache,Hard Disk,Cache
What does WWW stand for?,World Wide Web,Wide World Web,Web World Wide,World Web Wide,World Wide Web
Which device displays output on screen?,Keyboard,Mouse,CPU,Monitor,Monitor
Which company developed Android OS?,Apple,Microsoft,Google,Intel,Google
Which key combination is used for cut?,Ctrl + V,Ctrl + C,Ctrl + X,Ctrl + Z,Ctrl + X
Which gas is essential for combustion?,Nitrogen,Hydrogen,Oxygen,Helium,Oxygen
Which is the largest internal organ in human body?,Brain,Heart,Liver,Lungs,Liver
Who discovered electricity?,Benjamin Franklin,Newton,Edison,Galileo,Benjamin Franklin
Which river is known as the Sorrow of Bihar?,Ganga,Kosi,Yamuna,Brahmaputra,Kosi
What is the chemical formula of ammonia?,NH3,CO2,H2SO4,NaCl,NH3
Which sport is played with bat and ball?,Football,Hockey,Cricket,Tennis,Cricket
How many players are there in a football team?,9,10,11,12,11
Which is the tallest animal?,Elephant,Giraffe,Camel,Horse,Giraffe
Which festival is celebrated with colours?,Eid,Christmas,Holi,Diwali,Holi
Which instrument measures humidity?,Thermometer,Barometer,Hygrometer,Seismograph,Hygrometer
Which organ helps in digestion?,Liver,Stomach,Kidney,Heart,Stomach
Which country is known for pyramids?,India,Egypt,China,Italy,Egypt
Which vitamin strengthens bones?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
What is the currency of United Kingdom?,Dollar,Rupee,Pound,Yen,Pound
Which planet is famous for Great Red Spot?,Mars,Jupiter,Saturn,Venus,Jupiter
Which game uses a shuttlecock?,Cricket,Tennis,Badminton,Hockey,Badminton
How many continents are there in the world?,5,6,7,8,7
