question,option1,option2,option3,option4,answer
Which organ produces urine in the human body?,Heart,Lungs,Kidney,Liver,Kidney
The human skeleton system is made up of how many bones?,196,206,216,226,206
Which vitamin helps prevent scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
The basic unit of nervous system is:,Neuron,Nephron,Alveoli,Tissue,Neuron
Which gas is used by the body for respiration?,Hydrogen,Nitrogen,Oxygen,Helium,Oxygen
The SI unit of force is:,Joule,Watt,Newton,Volt,Newton
Which metal is the best conductor of electricity?,Copper,Silver,Iron,Gold,Silver
What is the chemical formula of glucose?,C6H12O6,H2O,CO2,NaCl,C6H12O6
Who discovered the circulation of blood?,Newton,William Harvey,Edison,Einstein,William Harvey
The pH value of human blood is approximately:,5.5,6.0,7.4,8.5,7.4
What is 48 × 5?,220,230,240,250,240
Find the square root of 324.,16,17,18,19,18
Solve: 30 + 12 ÷ 3,14,24,34,44,34
What is 35% of 200?,50,60,70,80,70
What is the value of 14²?,176,186,196,206,196
The HCF of 18 and 24 is:,3,6,9,12,6
Who is known as the Father of the Nation?,Bhagat Singh,Mahatma Gandhi,Nehru,Patel,Mahatma Gandhi
Which is the national bird of India?,Crow,Pigeon,Peacock,Sparrow,Peacock
Who wrote the Indian National Song?,Tagore,Bankim Chandra Chatterjee,Premchand,Kalidasa,Bankim Chandra Chatterjee
Which state is known as Tea Garden of India?,Punjab,Kerala,Assam,Gujarat,Assam
Which disease is caused by vitamin D deficiency?,Scurvy,Rickets,Malaria,Anaemia,Rickets
Which organ pumps blood throughout the body?,Liver,Heart,Kidney,Lungs,Heart
The SI unit of power is:,Volt,Watt,Joule,Newton,Watt
Which mirror is used in headlights of vehicles?,Plane,Convex,Concave,None,Concave
Which planet is called the Blue Planet?,Mars,Venus,Earth,Jupiter,Earth
Which key is used to move to next line while typing?,Ctrl,Shift,Enter,Alt,Enter
Which software is used to create spreadsheets?,MS Word,MS Excel,Paint,Chrome,MS Excel
CPU stands for:,Central Process Unit,Central Processing Unit,Computer Process Unit,Control Process Unit,Central Processing Unit
Which memory is known as temporary memory?,ROM,Hard Disk,RAM,DVD,RAM
What does USB stand for?,Universal System Bus,Universal Serial Bus,United Service Bus,Unique Serial Bus,Universal Serial Bus
Which company developed Windows operating system?,Apple,Google,Microsoft,IBM,Microsoft
Which device is used to enter data into computer?,Monitor,Printer,Keyboard,Speaker,Keyboard
Which shortcut key is used to undo an action?,Ctrl + C,Ctrl + V,Ctrl + X,Ctrl + Z,Ctrl + Z
Which gas is mainly responsible for global warming?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide
Which is the longest river in Asia?,Nile,Ganga,Yangtze,Amazon,Yangtze
Who invented the telephone?,Edison,Newton,Graham Bell,Faraday,Graham Bell
Which country is known as Land of Midnight Sun?,India,Norway,Canada,Russia,Norway
What is the chemical symbol of iron?,Ir,Fe,In,Fm,Fe
How many players are there in a hockey team?,9,10,11,12,11
Which is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippopotamus,Blue Whale
Which festival is celebrated with diyas?,Holi,Eid,Diwali,Christmas,Diwali
Which instrument measures atmospheric pressure?,Thermometer,Hygrometer,Barometer,Altimeter,Barometer
Which organ controls body balance?,Heart,Cerebellum,Kidney,Liver,Cerebellum
Which country gifted Statue of Liberty to USA?,Germany,France,Italy,Canada,France
Which vitamin is important for strong bones?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
What is the currency of China?,Dollar,Rupee,Yuan,Yen,Yuan
Which planet is famous for its rings?,Mars,Earth,Saturn,Venus,Saturn
Which blood group is known as universal recipient?,A,B,O,AB Positive,AB Positive
What is the boiling point of water?,50°C,75°C,100°C,150°C,100°C
What is the freezing point of water?,0°C,10°C,50°C,100°C,0°C
