question,option1,option2,option3,option4,answer
Which vitamin is essential for blood clotting?,Vitamin A,Vitamin B,Vitamin C,Vitamin K,Vitamin K
The human heart is located in:,Right side,Left side,Center,Lower abdomen,Left side
Which organ is responsible for filtering blood?,Lungs,Heart,Kidney,Liver,Kidney
The smallest unit of life is:,Atom,Cell,Tissue,Organ,Cell
Which gas is most important for respiration?,Hydrogen,Nitrogen,Oxygen,Helium,Oxygen
The SI unit of pressure is:,Newton,Pascal,Joule,Watt,Pascal
Which metal is used to make electric wires?,Iron,Copper,Silver,Gold,Copper
What is the chemical formula of methane?,CH4,CO2,H2O,NH3,CH4
Who invented the electric bulb?,Newton,Edison,Graham Bell,Faraday,Edison
The pH value of neutral solution is:,5,6,7,8,7
What is 36 × 4?,124,134,144,154,144
Find the square root of 256.,12,14,16,18,16
Solve: 20 + 6 × 5,130,40,50,60,50
What is 75% of 200?,100,125,150,175,150
What is the value of 13²?,149,159,169,179,169
The HCF of 15 and 25 is:,3,5,10,15,5
Who is known as the Father of Indian Constitution?,Gandhi,Nehru,B.R. Ambedkar,Patel,B.R. Ambedkar
Which is the national fruit of India?,Mango,Apple,Banana,Grapes,Mango
Who wrote the Mahabharata?,Valmiki,Vyasa,Tulsidas,Kalidasa,Vyasa
Which state is known as Land of Five Rivers?,Punjab,Kerala,Gujarat,Rajasthan,Punjab
Which disease spreads through contaminated water?,Malaria,Cholera,Asthma,Cancer,Cholera
Which organ controls the body activities?,Heart,Lungs,Brain,Kidney,Brain
The SI unit of frequency is:,Hertz,Newton,Volt,Watt,Hertz
Which mirror is used in solar cookers?,Convex,Concave,Plane,None,Concave
Which planet is known as Red Planet?,Venus,Mars,Jupiter,Saturn,Mars
Which key is used to start a new paragraph?,Shift,Ctrl,Enter,Alt,Enter
Which software is mainly used for typing documents?,Excel,Paint,MS Word,Chrome,MS Word
CPU stands for:,Central Processing Unit,Control Process Unit,Computer Power Unit,Central Power Unit,Central Processing Unit
Which memory stores permanent data?,RAM,Cache,ROM,Register,ROM
What does PDF stand for?,Portable Document Format,Print Data File,Personal Document Form,Public Data File,Portable Document Format
Which company created Windows?,Google,Apple,Microsoft,IBM,Microsoft
Which device is used to print documents?,Monitor,Keyboard,Printer,Mouse,Printer
Which shortcut key is used to select all?,Ctrl + C,Ctrl + V,Ctrl + A,Ctrl + X,Ctrl + A
Which gas is used in respiration by humans?,Nitrogen,Oxygen,Hydrogen,Helium,Oxygen
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
Who invented radio?,Marconi,Edison,Newton,Graham Bell,Marconi
Which country is known as Land of Kangaroos?,India,Australia,Canada,Brazil,Australia
What is the chemical symbol of silver?,Au,Ag,Sr,Si,Ag
How many bones are there in adult human body?,196,206,216,226,206
Which is the fastest land animal?,Lion,Cheetah,Tiger,Horse,Cheetah
Which festival is called festival of lights?,Eid,Holi,Diwali,Christmas,Diwali
Which instrument measures temperature?,Thermometer,Barometer,Hygrometer,Altimeter,Thermometer
Which organ helps in breathing?,Heart,Kidney,Lungs,Liver,Lungs
Which country is famous for Great Wall?,India,China,Japan,Korea,China
Which vitamin deficiency causes rickets?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
What is the currency of China?,Yen,Dollar,Yuan,Rupee,Yuan
Which planet is nearest to Earth?,Mars,Venus,Jupiter,Saturn,Venus
Which blood group is universal donor?,A Positive,B Positive,AB Positive,O Negative,O Negative
Which part of computer is called brain?,Keyboard,CPU,Mouse,Monitor,CPU
What is the boiling point of water?,50°C,75°C,100°C,150°C,100°C
