question,option1,option2,option3,option4,answer
Which part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the normal blood pressure of a healthy adult?,80/40,120/80,160/100,90/60,120/80
Which blood cells fight infection?,RBC,WBC,Platelets,Plasma,WBC
The human heart has how many chambers?,2,3,4,5,4
Which organ produces insulin?,Liver,Pancreas,Kidney,Heart,Pancreas
The SI unit of power is:,Newton,Watt,Joule,Volt,Watt
Which acid is present in lemon?,Sulphuric acid,Citric acid,Hydrochloric acid,Nitric acid,Citric acid
Which metal is used in electric wires?,Iron,Aluminium,Copper,Silver,Copper
The speed of light is approximately:,3×10^8 m/s,3×10^6 m/s,3×10^5 m/s,3×10^4 m/s,3×10^8 m/s
Who gave the theory of gravity?,Einstein,Newton,Edison,Galileo,Newton
What is 18 × 15?,250,260,270,280,270
What is the square of 16?,128,196,256,512,256
Simplify: 50 - 10 × 2,60,40,30,20,30
What is 25% of 400?,50,75,100,125,100
Find the value of 9².,72,81,91,99,81
What is the HCF of 12 and 18?,2,4,6,8,6
Who is known as the Iron Man of India?,Bhagat Singh,Sardar Patel,Gandhi,Nehru,Sardar Patel
Which is the largest state in India by area?,Tamil Nadu,Uttar Pradesh,Rajasthan,Maharashtra,Rajasthan
Who wrote Vande Mataram?,Tagore,Bankim Chandra Chatterjee,Premchand,Gandhi,Bankim Chandra Chatterjee
Which city is known as Pink City?,Delhi,Mumbai,Jaipur,Agra,Jaipur
Deficiency of iron causes:,Diabetes,Anaemia,Cancer,Asthma,Anaemia
Which organ removes waste from blood?,Heart,Liver,Kidney,Lungs,Kidney
What is freezing point of water?,0°C,10°C,50°C,100°C,0°C
Which device converts electrical energy into mechanical energy?,Motor,Generator,Battery,Transformer,Motor
Which planet is nearest to the Sun?,Earth,Mercury,Mars,Venus,Mercury
Which key is used to refresh a computer screen?,F1,F2,F5,F12,F5
Which software is used to prepare presentations?,MS Word,MS Excel,MS PowerPoint,Paint,MS PowerPoint
The full form of LAN is:,Large Area Network,Local Area Network,Long Area Network,Light Area Network,Local Area Network
Which part of computer stores files permanently?,RAM,ROM,Hard Disk,CPU,Hard Disk
What does URL stand for?,Uniform Resource Locator,Universal Record Locator,Uniform Record Link,Universal Resource Link,Uniform Resource Locator
Which company developed the iPhone?,Google,Samsung,Apple,Nokia,Apple
Which one is not an operating system?,Windows,Linux,Oracle,Android,Oracle
What is the shortcut key for undo?,Ctrl + Y,Ctrl + Z,Ctrl + U,Ctrl + X,Ctrl + Z
Which gas is necessary for photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
Which is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,Blue Whale
Who invented radio?,Newton,Marconi,Edison,Graham Bell,Marconi
Which country gifted Statue of Liberty to USA?,France,India,Japan,Canada,France
Which is the tallest mountain in the world?,K2,Everest,Kilimanjaro,Kanchenjunga,Everest
What is the chemical formula of common salt?,NaCl,KCl,H2SO4,CaCO3,NaCl
Which game is associated with Wimbledon?,Football,Cricket,Tennis,Hockey,Tennis
How many hours are there in a day?,12,18,24,36,24
Which is the smallest continent?,Europe,Australia,Africa,Antarctica,Australia
Which festival is called the festival of colours?,Diwali,Holi,Eid,Christmas,Holi
Which instrument measures temperature?,Barometer,Thermometer,Hygrometer,Seismograph,Thermometer
Which organ helps in breathing?,Heart,Kidney,Lungs,Liver,Lungs
What is the national song of India?,Jana Gana Mana,Vande Mataram,Sare Jahan Se Achha,None,Vande Mataram
Which ocean lies south of India?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,Indian Ocean
Which vitamin helps in healing wounds?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
What is the currency of Japan?,Dollar,Rupee,Yen,Peso,Yen
What is the SI unit of force?,Joule,Newton,Watt,Pascal,Newton
