question,option1,option2,option3,option4,answer
Which organ stores urine?,Kidney,Liver,Bladder,Heart,Bladder
The red blood cells are produced in:,Liver,Bone marrow,Heart,Kidney,Bone marrow
Which vitamin is important for eyesight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A
The largest organ in human body is:,Heart,Liver,Skin,Lungs,Skin
Which gas is released by plants during photosynthesis?,Nitrogen,Hydrogen,Oxygen,Carbon dioxide,Oxygen
The SI unit of work is:,Newton,Joule,Watt,Pascal,Joule
Which acid is found in vinegar?,Citric acid,Acetic acid,Hydrochloric acid,Sulphuric acid,Acetic acid
What is the chemical symbol of potassium?,Po,Pt,K,Pm,K
Who discovered penicillin?,Newton,Edison,Alexander Fleming,Einstein,Alexander Fleming
The atomic number of carbon is:,4,5,6,7,6
What is 45 × 2?,70,80,90,100,90
Find the square root of 289.,15,16,17,18,17
Solve: 100 - 20 ÷ 5,60,80,96,100,96
What is 20% of 250?,40,50,60,70,50
What is the value of 15²?,205,215,225,235,225
The LCM of 6 and 8 is:,12,18,24,36,24
Who gave the slogan Jai Hind?,Nehru,Gandhi,Subhash Chandra Bose,Patel,Subhash Chandra Bose
Which is the national tree of India?,Neem,Banyan,Mango,Coconut,Banyan
Who wrote Gitanjali?,Tagore,Premchand,Kalidasa,Tulsidas,Tagore
Which state is famous for backwaters?,Punjab,Kerala,Assam,Gujarat,Kerala
Which disease is caused by mosquito bite?,Cancer,Malaria,Asthma,Diabetes,Malaria
Which organ purifies blood in body?,Heart,Lungs,Kidney,Liver,Kidney
The SI unit of electric current is:,Volt,Ohm,Ampere,Watt,Ampere
Which lens is used in magnifying glass?,Concave,Convex,Plane,Cylindrical,Convex
Which is the largest planet?,Earth,Mars,Jupiter,Venus,Jupiter
Which key is used to remove left side character?,Delete,Shift,Backspace,Ctrl,Backspace
Which software is used for presentations?,MS Paint,MS Excel,MS PowerPoint,Chrome,MS PowerPoint
RAM stands for:,Random Access Memory,Read Access Memory,Run Access Memory,Real Access Memory,Random Access Memory
Which memory is temporary?,ROM,Hard Disk,RAM,DVD,RAM
What does URL stand for?,Universal Record Locator,Uniform Resource Locator,Uniform Record Link,Universal Resource Link,Uniform Resource Locator
Which company developed Android?,Apple,Microsoft,Google,Intel,Google
Which device is used for scanning?,Printer,Scanner,Monitor,Speaker,Scanner
Which shortcut key is used for copy?,Ctrl + X,Ctrl + C,Ctrl + V,Ctrl + Z,Ctrl + C
Which gas is necessary for burning?,Nitrogen,Oxygen,Helium,Hydrogen,Oxygen
Which is the tallest mountain peak?,Everest,K2,Kanchenjunga,Fuji,Everest
Who invented computer?,Charles Babbage,Edison,Newton,Einstein,Charles Babbage
Which river is known as Holy River of India?,Nile,Amazon,Ganga,Yamuna,Ganga
What is the chemical formula of water?,H2O,CO2,O2,NaCl,H2O
How many players are there in volleyball team?,5,6,7,8,6
Which is the smallest prime number?,0,1,2,3,2
Which festival is celebrated after Ramadan?,Christmas,Holi,Eid,Diwali,Eid
Which instrument measures humidity?,Thermometer,Hygrometer,Barometer,Seismograph,Hygrometer
Which organ helps in digestion?,Heart,Stomach,Kidney,Lungs,Stomach
Which country is known for pyramids?,India,China,Egypt,Italy,Egypt
Which vitamin helps in wound healing?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
What is the currency of Japan?,Dollar,Rupee,Yen,Pound,Yen
Which planet has rings around it?,Mars,Earth,Saturn,Venus,Saturn
Which blood cells fight germs?,RBC,WBC,Platelets,Plasma,WBC
Which device shows output on screen?,Keyboard,Monitor,Mouse,Printer,Monitor
What is the freezing point of water?,0°C,10°C,50°C,100°C,0°C
