question,option1,option2,option3,option4,answer
Which blood vessel carries oxygenated blood from lungs to heart?,Pulmonary artery,Pulmonary vein,Aorta,Vena cava,Pulmonary vein
The functional unit of kidney is:,Neuron,Nephron,Alveoli,Tissue,Nephron
Which vitamin helps in blood clotting?,Vitamin A,Vitamin B,Vitamin C,Vitamin K,Vitamin K
The deficiency of iodine causes:,Scurvy,Rickets,Goitre,Beriberi,Goitre
What is the SI unit of force?,Joule,Newton,Watt,Pascal,Newton
The powerhouse of the cell is:,Nucleus,Ribosome,Mitochondria,Cytoplasm,Mitochondria
Which gas is used in fire extinguishers?,Hydrogen,Oxygen,Carbon dioxide,Nitrogen,Carbon dioxide
Who discovered penicillin?,Newton,Alexander Fleming,Edison,Einstein,Alexander Fleming
The pH value of pure water is:,5,6,7,8,7
Which metal is liquid at room temperature?,Iron,Mercury,Copper,Silver,Mercury
What is 15 × 12?,120,150,180,200,180
What is the cube of 5?,25,75,100,125,125
Simplify: 18 ÷ 3 × 2,3,6,12,18,12
What is 40% of 250?,50,75,100,125,100
The value of π is approximately:,2.14,3.14,4.13,1.34,3.14
What is the square root of 225?,12,13,14,15,15
Who was the first President of India?,Jawaharlal Nehru,Rajendra Prasad,Sardar Patel,Abdul Kalam,Rajendra Prasad
Which is the national flower of India?,Rose,Sunflower,Lotus,Jasmine,Lotus
Which Mughal emperor built the Taj Mahal?,Akbar,Babur,Shah Jahan,Aurangzeb,Shah Jahan
Who wrote the National Anthem of India?,Bankim Chandra Tagore,Rabindranath Tagore,Subhash Bose,Sarojini Naidu,Rabindranath Tagore
Which disease is caused by deficiency of Vitamin D?,Scurvy,Rickets,Beriberi,Anaemia,Rickets
Which organ stores bile juice?,Kidney,Liver,Gall bladder,Pancreas,Gall bladder
What is the boiling point of water in Fahrenheit?,100°F,212°F,180°F,250°F,212°F
The SI unit of current is:,Volt,Ampere,Ohm,Watt,Ampere
Which gas is most abundant in the atmosphere?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,Nitrogen
CPU is mainly used for:,Storage,Processing,Printing,Scanning,Processing
Which memory is temporary?,ROM,Hard disk,RAM,DVD,RAM
Which key combination is used to copy text?,Ctrl + X,Ctrl + C,Ctrl + V,Ctrl + Z,Ctrl + C
Which company developed Android?,Apple,Microsoft,Google,IBM,Google
Which device is used to scan documents?,Printer,Monitor,Scanner,Speaker,Scanner
What does RAM stand for?,Read Access Memory,Random Access Memory,Run Access Memory,Real Access Memory,Random Access Memory
Which is an input device?,Printer,Monitor,Keyboard,Speaker,Keyboard
What is the shortcut key for save?,Ctrl + A,Ctrl + S,Ctrl + P,Ctrl + X,Ctrl + S
The full form of PDF is:,Portable Document Format,Print Document File,Public Data File,Portable Data Form,Portable Document Format
Which gas do humans exhale?,Nitrogen,Carbon dioxide,Oxygen,Helium,Carbon dioxide
Which planet has rings around it?,Earth,Mars,Saturn,Venus,Saturn
Who invented the bulb?,Newton,Edison,Graham Bell,Einstein,Edison
Which river is called the lifeline of India?,Yamuna,Ganga,Brahmaputra,Narmada,Ganga
Which country is known as the Land of Rising Sun?,China,Japan,Thailand,Korea,Japan
What is the chemical symbol of gold?,Ag,Au,Gd,Go,Au
How many players are there in a cricket team?,9,10,11,12,11
Which is the hardest natural substance?,Iron,Gold,Diamond,Silver,Diamond
Which day is celebrated as Independence Day in India?,15 January,26 January,15 August,2 October,15 August
Which animal is known as King of Jungle?,Tiger,Lion,Elephant,Leopard,Lion
How many colours are there in a rainbow?,5,6,7,8,7
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,Canberra
Which instrument measures earthquakes?,Thermometer,Barometer,Seismograph,Hygrometer,Seismograph
The Sun is a:,Planet,Star,Satellite,Comet,Star
Which vitamin is important for eyesight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin AWhich organ purifies blood in the human body?,Heart,Kidney,Liver,Lungs,Kidney
Which organ purifies blood in the human body?,Heart,Kidney,Liver,Lungs,Kidney
