question,option1,option2,option3,option4,answer
Which chamber of heart pumps oxygenated blood to body?,Right atrium,Left atrium,Right ventricle,Left ventricle,Left ventricle
The deficiency of iodine leads to:,Anaemia,Goitre,Rickets,Scurvy,Goitre
Which blood component helps in clotting?,RBC,WBC,Platelets,Plasma,Platelets
The functional unit of lungs is:,Neuron,Alveoli,Nephron,Tissue,Alveoli
What is the SI unit of capacitance?,Farad,Henry,Tesla,Volt,Farad
Which law states pressure of gas inversely proportional to volume?,Charles Law,Boyle’s Law,Ohm’s Law,Newton’s Law,Boyle’s Law
Which gas is evolved during electrolysis of water at cathode?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,Hydrogen
What is the chemical formula of gypsum?,CaSO4·2H2O,CaCO3,NaCl,H2SO4,CaSO4·2H2O
Who discovered electron?,Rutherford,J.J. Thomson,Bohr,Chadwick,J.J. Thomson
The pH of basic solution is:,Less than 7,Equal to 7,More than 7,Zero,More than 7
What is 144 ÷ 12 × 8?,84,92,96,104,96
Find the cube root of 2197.,11,12,13,14,13
Solve: 64 - 8 × 4 + 12,32,40,44,52,44
What is 12.5% of 640?,60,70,80,90,80
If y = 4, find value of 3y² - 2y.,36,40,48,52,40
The HCF of 48 and 72 is:,12,18,24,36,24
Who was the first Indian to win Nobel Prize?,C.V. Raman,Rabindranath Tagore,Abdul Kalam,Homi Bhabha,Rabindranath Tagore
Which article provides Right to Freedom?,14,19,21,32,19
Who founded Azad Hind Fauj?,Gandhi,Nehru,Subhash Chandra Bose,Patel,Subhash Chandra Bose
Which state is largest by area in India?,UP,Rajasthan,Madhya Pradesh,Maharashtra,Rajasthan
Which disease is caused by bacteria?,Malaria,Dengue,Typhoid,AIDS,Typhoid
Which organ stores bile?,Pancreas,Stomach,Gall bladder,Liver,Gall bladder
The SI unit of inductance is:,Henry,Farad,Tesla,Ohm,Henry
Which lens is used in telescope?,Convex only,Concave only,Both convex and concave,Plane lens,Both convex and concave
Which planet has shortest day?,Earth,Jupiter,Mars,Venus,Jupiter
Which key is used to rename a selected file?,F1,F2,F5,F12,F2
Which software is used for coding in C language?,Compiler,Paint,Chrome,Excel,Compiler
Which part of CPU performs calculations?,ALU,CU,RAM,ROM,ALU
Which memory loses data when power is off?,ROM,Hard Disk,RAM,SSD,RAM
What does SMTP stand for?,Simple Mail Transfer Protocol,Secure Mail Transfer Process,System Mail Transfer Program,Simple Message Text Process,Simple Mail Transfer Protocol
Which company developed Python language?,Microsoft,Apple,Guido van Rossum,IBM,Guido van Rossum
Which protocol is used to send emails?,HTTP,FTP,SMTP,TCP,SMTP
Which shortcut key is used for permanent delete?,Shift + Delete,Ctrl + Delete,Alt + Delete,Ctrl + Shift + Delete,Shift + Delete
Which layer of atmosphere contains ozone layer?,Troposphere,Stratosphere,Mesosphere,Thermosphere,Stratosphere
Which is the largest volcano in the solar system?,Fuji,Olympus Mons,Etna,Vesuvius,Olympus Mons
Who invented periodic table?,Bohr,Newton,Mendeleev,Rutherford,Mendeleev
Which country is called Land of White Elephant?,India,Thailand,Japan,China,Thailand
What is the atomic number of chlorine?,15,16,17,18,17
How many pairs of ribs are present in humans?,10,11,12,13,12
Which is the fastest bird?,Eagle,Peregrine Falcon,Parrot,Owl,Peregrine Falcon
Which festival marks Sikh New Year?,Baisakhi,Holi,Eid,Diwali,Baisakhi
Which instrument measures electric current?,Voltmeter,Ammeter,Barometer,Thermometer,Ammeter
Which gland secretes adrenaline?,Pituitary,Adrenal,Pancreas,Thyroid,Adrenal
Which country hosted Olympics 2021?,China,Japan,France,USA,Japan
Which vitamin helps in blood formation?,Vitamin B12,Vitamin A,Vitamin C,Vitamin D,Vitamin B12
What is the currency of Russia?,Dollar,Ruble,Yen,Peso,Ruble
Which planet is known for Great Red Spot?,Saturn,Mars,Jupiter,Venus,Jupiter
Which blood group is universal donor?,A Positive,B Positive,AB Positive,O Negative,O Negative
What is the acceleration due to gravity on Earth?,8.9 m/s²,9.8 m/s²,10.8 m/s²,7.8 m/s²,9.8 m/s²
Which instrument measures earthquakes?,Barometer,Thermometer,Seismograph,Hygrometer,Seismograph
